Mean(z_rock_height),species_cat_01
2.839708712,Other Species
1.61714765,Other Species
1.89521693,Other Species
2.69713,Focus Species
0.13,Focus Species
3.310269682,Focus Species
0.6585998,Other Species
0.96966069,Other Species
2.495555376,Focus Species
2.39401037,Focus Species
1.809587514,Other Species
1.73284,Focus Species
3.82,Focus Species
0.4464,Other Species
-0.0437055,Other Species
4.076812918,Other Species
1.09516,Other Species
4.02,Focus Species
1.50004,Other Species
2.36900534,Other Species
2.54667,Focus Species
3.248041665,Focus Species
2.1001542,Focus Species
1.406987089,Focus Species
1.29011,Other Species
3.02666,Other Species
2.77,Other Species
0.31,Other Species
2.08607,Focus Species
1.77168,Focus Species
0.6516,Focus Species
1.154556365,Other Species
3.460086124,Other Species
2.64801698,Focus Species
2.981933732,Focus Species
2.34524,Other Species
1.541595137,Other Species
2.110000001,Other Species
2.549999997,Focus Species
1.66012447,Other Species
3.490000001,Other Species
4.035049547,Focus Species
1.437578872,Other Species
2.47828255,Other Species
0.1708,Other Species
1.39523,Other Species
2.27015354,Focus Species
1.75985298,Other Species
1.561396316,Other Species
1.35049822,Focus Species
1.326885654,Other Species
3.509999998,Focus Species
3.238460599,Other Species
1.55006,Other Species
2.044034355,Focus Species
1.79747617,Focus Species
2.694011265,Focus Species
2.40201629,Focus Species
1.91506756,Other Species
1.445946727,Focus Species
1.49888942,Other Species
1.13667,Focus Species
1.18261273,Other Species
0.99017368,Other Species
3.126717586,Focus Species
1.63572,Focus Species
2.54265349,Focus Species
2.520104541,Focus Species
2.19667,Focus Species
1.299999999,Other Species
0.569815808,Other Species
3.157986945,Focus Species
3.2125,Focus Species
3.522220398,Focus Species
1.449329966,Focus Species
2.65667,Other Species
2.143978397,Focus Species
0.663,Focus Species
1.194904767,Focus Species
-0.151,Focus Species
-0.3328664,Other Species
2.52817706,Other Species
3.495082733,Other Species
2.662288776,Focus Species
2.460000001,Focus Species
0.75,Other Species
1.559999999,Other Species
1.673858847,Focus Species
1.80467981,Other Species
2.64012,Focus Species
1.20731794,Other Species
1.78,Other Species
0.6372747,Focus Species
-0.3003574,Other Species
2.28476,Focus Species
1.09,Other Species
3.760036042,Other Species
2.025202834,Focus Species
2.750000003,Focus Species
0.725,Other Species
3.674499308,Focus Species
0.829892,Other Species
2.54,Other Species
3.409999996,Focus Species
1.47580684,Other Species
3.048994407,Focus Species
1.710000002,Focus Species
2.940384083,Focus Species
2.54,Other Species
0.375,Other Species
1.95892,Other Species
1.45659498,Other Species
3.651241613,Other Species
2.658023066,Focus Species
2.153430258,Focus Species
0.7813136,Other Species
-0.09,Other Species
